utterance_id,conversation_id,text,polite
1201,528412,"Hi, you recently speedily deleted this image and in your explanation stated that I, the uploader, was informed of this. I was not - please could you tell me why not?",1
3396,2461,"i really dont understand the question, and also the example is weird. if he throws a ball to 3 others player why there are 5 different paths??",0
2787,1285,It's my understanding that it is not possible to change a file's ctime without royally screwing everything else up. Why do you need this behavior?,0
1666,421161,"Any more of this hoax crap at <url>, <url>, Eyre/Heller garbage, and you will be '''''permanently''''' banned from editing.  Is that clear?",0
670,236459,"Hi Leah, is it working again? I had some difficulties with WP in general a couple of days ago and was wondering if your issues had the same origin?",1
4538,4788,And NFS and DNS and other stuff too. Can you provide a breakdown by port?,1
1537,629222,"Sure thing, you've been doing great work so far. Would it help to maybe translate the whole article first as it is, and then over the course of time you can play around with the sections and add stuff that you find?",1
197,342260,"Hi, I can run a newsletter bot for you, WesleyDodds. Whatcha need me to deliver?",1
2672,1069,It's possible.  Do you have any code yet?,1
459,608924,"A redirect works exactly the same way regardless of whether there's a space between ""#REDIRECT"" and the target article's name or not. Why bother removing spaces from the redirects if it doesn't change the functionality at all?",0
2327,345,@Marko: Why do you think Swing will be deprecated? And how do you consider javafx to be a replacement?,1
193,630786,"Hi, Matt. Aren't you supposed to be banned?",0
534,619612,Now why would you do that when he specifically stated that he didn't want to discuss the matter for 48 hours and I specifically stated that people should come here? Did you not read his request?,0
2235,136,And what is the problem? Other than the missing semicolon after name[25]?,0
2818,1351,Why have you cut out the interesting bit from the Apache confs? Where's the `ServerName`/`ServerAlias` stuff?,0
247,137459,"Just wondering, is there any reason why you removed categories from a number of articles and replaced them with the non-existend <url>. Wouldn't <url> have been the better choice, which, as it appears, is a category you yourself created a few days ago?",0
4845,5524,It doesn't increase exponentially (a^x); it increases quadratically (x^2).  Can you correct the title?,1
4685,5161,"These are the SC1 hotkeys, but it is tagged and titled with SC2. Which one is the mistake?",1
4528,4763,"Just to be sure, are you talking about ST as found in clinical trials, e.g. http://en.wikipedia.org/wiki/Sequential_analysis?",0
4315,4339,"Sorry, just to clarify: So I should try changing index.php (which is the splash page now) to index.html with the addition of the head content? Or do you mean change index2.php to index.html?",0
4257,4211,"This is likely to be a shell misconfiguration, probably the lack of prompt protection [suggested by mikel](http://unix.stackexchange.com/questions/6580/why-is-gnu-screen-byobu-leaving-garbage-text-in-the-shell-during-a-reverse-sear/6581#6581). What shell are you using (probably bash, but please confirm)?",1
2558,827,What makes you think that this is the reason for the memory usage diff? Are your results repeatable?,0
4681,5150,There used to be a Flash version made by Sega themselves. Where did that go?,0
2904,1506,"yes you are right I guess the problem is really whats happening around release, (I just wanted to ask if this is fine to do). Actually it's related to cocos2d before release I am making a CCAction and I have a CCSprite *sp, I am simply doing [sp runAction:anim]; while the animation is running I am releasing it, though nothing happens to the animation visually but is it right?",1
569,451272,"Likewise there is some discussion at <url>, where <url> is categorising itself and its documenttation. Could you please fix that as well?",1
1589,581956,"Hi, I missed your valued contributions recently. Everything ok?",1
97,553125,"I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?",0
4714,5234,Take a look **[here](http://diy.stackexchange.com/questions/7908/what-resources-can-teach-me-to-draw-floor-plans-by-hand/7911#7911)**. Is that the kind of thing you're after?,1
1463,222270,I was thinking more of making the line longer so that the team's name can fit on it. Is that doable?,1
2939,1576,"I updated original question with persistentStoreCoordinator method which I got from my AppDelegate.m.  Regarding the two different managed objects, I guess I messed this up, am I only supposed to have one in the app delegate?",1
5112,5966,"Why must you sell the studded tires? Can't you just throw them in a closet during the summer, then remount them when winter rolls around?",1
1264,596791,That was a nice pic you put up in the Civil War article. where did you find it?,1
3298,2266,"My first impression is that it is indeed with the StackPanel, since it's default is to ""shrink"" around elements.  Have you tried using a fixed size container and adjusting the width, if needed, as part of the animation?",1
1843,619643,Really? When/where did that happen?,0
1477,280602,"I only used approved templates.  If they are not considered polite, why have them?",0
1602,619200,I would specifically appreciate an outside view at the thread <url>.  What do you feel is the appropriate action?,1
3709,3082,"Wait... ""on this specific name / IP address it does not show my acceptance rate properly""? You don't actually know what those things mean, do you?",0
2419,545,"do they have to be executables? what about MEF and doing the apps as plugins for the ""launcher""?",1
395,343027,I could have a go. When would you need it?,1
98,412189,"I will find religious advocacy statements.  You don't understand, or disagree, that medical issues are over emphasized in the circumcision article?",0
4891,5602,"This really just boils down to ""You're used to Windows."" doesn't it?",0
1561,396161,"Why am I never asked to write a feature. Is it because ""I is black""?",0
2812,1339,Try using 'localhost' as your address. Does it work?,1
3749,3161,What? No warning that gender can change?,0
4533,4780,This seems hard and fragile.  Why not just directly address any CSRF vulnerabilities that your site has?,1
2304,306,I have an application.xml file but not sure how exactly how to use it. Have I missed some settings?,1
1344,591512,"Hi, thanks for unprotecting the <url> article. Could you also unprotect <url> so a redirect can be created?",1
1905,501596,Please see our ongoing discussion <url>. Is this how you properly send a message?,0
2779,1276,"""issues""?  What issues?",0
585,123061,"Hi.  Would it be OK to move the timeline to a template, so that all the Mars-related geology pages can point to the same timeline, making updates easier?",1
4873,5576,This still shows old and read messages. How do you fix that?,1
2093,621579,I have some made some improvements to the articles you references on the above user's talk page. Perhaps next time you would bring your concerns directly to '''me'''?,0
2573,862,@There: That's a lot of code to wade through.  Are you saying you can't possibly simplify it in any further?,0
2182,29,no way! can you show us the entire loop?,1
1659,210807,"I will say this, though, in the form of a suggestion: it makes me a bit uneasy to see you so involved and sometimes argumentative in your nomination. Why not step back and let the community do its thing?",0
3441,2545,Could you please clarify with an example? And are we doing your homework for you?,0
4602,4950,The size of the summation sign might differ depending on your math font. Do you mean the computer modern \sum?,1
232,621540,"You are right, I apologize not doing so.  A different layout for the template could be interesting (perhaps even with names, or those delivered in person/by text) but I didn't quite see the logic in the way you had broken up the dates by 20 year blocks interspaced with 4 year blocks, right?",1
3693,3053,"did it find the vehicle? i.e put a breakpoint inside your var number = $(this).find(""number"").text(); is it actually hitting the bp?",1
2538,793,How is it awkward? Which version of VS (they have different levels of js intellisense support)?,0
925,55859,Thank you for reverting vandalism on my page.  How did you catch it so fast?,1
2376,444,I thought about leaving it as a hint to anyone else that restarting VS can always solve unexpected problems. What do you think?,1
3950,3559,yep :-) sorry for the confusion.  any other ideas?,1
4572,4880,Guess that makes this community wiki. Don't you think?,0
2398,484,What do you know about the type already? Could you provide a sample context?,1
3617,2924,@Lukas I'm faced with a similar problem at the moment. Did you ever find a good solution?,1
594,332438,"4. I had once felt that the Euroleague, Italian and Greek leagues were the top leagues. If I were to choose selected European leagues from this page <url>, do you have any thoughts on which ones are important?",1
3945,3551,99% of my use is C++ ... I don't know what they did but it's horrid. Have you tried using a remote debugger or another instance of visual studio and attaching to the process?,0
3915,3489,Is it that the browser itself is taking a long time to load the page?  Or is the dev server process itself just taking an abnormally long time to load?,1
733,347262,"I removed that second paragraph entirely, since the information is covered in the article.  Do you feel that the lead should be larger?",1
598,207726,"So, Pasquale, you're not interested? Have you ever read <url> article?",0
4231,4168,@Yiannis: Can you please expand on the spacing after punctuation? What could go wrong without the `\xspace`?,0
3194,2072,@Mitch: I have given you my answer. Can you give your's now?,0
1022,263642,"Ridding the project from copyvio images, which could result in expensive legal battles and put the whole project at risk? You think that we should risk putting the work of thousands of editors to risk because of some image?",0
2827,1366,It looks like its not processing the imports in the WSDL. Have you confirmed suds works with external imports?,1
4175,4039,@DisgruntledGoat: Yep! (enlighten me please: are there more kinds of pageranks?),0
3736,3131,Do you have any code we can look at? What have you tried so far that isn't working?,1
4382,4466,"I am having a hard time figuring out what each symbol means.  Could you explicitly identify them, please?",1
4352,4401,"Can you please be more specific?? What do u mean by ""but it's not a problem as far as the tutorial goes"" ??",1
3221,2123,Never heard of this before. I guess you've already tried a full repair and it's still happening?,0
4546,4806,"Since you mentioned Evil Maid by Joanna, you already know the answer to your question. Am I missing something here?",1
4859,5550,"Indeed, this is more applied mathematics than physics, though I'm not sure it's a good enough reason to close this question. It's an odd question in any case; perhaps a little clarification would help? :)",1
1486,283735,"So how are u gonna concider weither the licences used by Fluckr are accurate...? ,and if this image has to bee conciderd than http://en.wikipedia.org/wiki/Image:Petercrouch_liverpool.JPG should be to..?",0
4368,4435,"Sorry, just realized you were talking specifically about using the word in the title, which does make things a little trickier-- you probably don't want your app to have a different name on both sides of the pond, although it wouldn't be unheard of. Can't you just use ""Plane"" instead? :P",1
3091,1880,"I don't understand your concern with ""the user might think that margins contains only :left and :right"". How is it different when you use the chart.marings(:left, 10) syntax ?",0
1415,58110,He published the document himself for the world to see. What privacy?,0
2238,145,They are completely different. Have you even glanced at the documentation?,0
4292,4297,"Sorry. But, what is ""Sym"" button?",0
3750,3162,@Murilo: Do you need to return all matches or just one? Are there any memory limits?,1
2550,815,"Why do you mean by ""release"" and ""delete"" here? Does ""delete"" mean usage of `delete`, or erasing from the map?",0
2218,108,"@sarnold It shows 
Number of input = 22936722 49.Can anyone rationalise this strangeness?",1
5018,5812,"What are you uploading the images for? Is it something that your theme will reference, or something that you want users to have access to and to be able to re-use images that you already posted in their own content?",0
618,318088,"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",0
1552,630772,User 86.138.232.97 does have a history of malicous edits. Are you then confirming that these malicious edits done by user 86.138.232.97 were done by yourself?,0
2800,1308,You could serialize Python objects to files and then load them. The problem is that model is too large?,1
917,167072,"Hello Sirmyles, I noticed a puzzling section on <url> that could only have been written by you (about the parallels with Shiite law). I would appreciate if you could identify a source that could possibly support this assertion?",1
4387,4480,Thank you very much @Luboš Motl ! Would you please sum up your comments and post them as an answer?,0
5392,6505,"Wow, that is a great answer!  Thanks for the answer.  One more question for you though.  How can I tell what the float of the pedal is?",1
499,622829,"Hope that you don't mind, I modified your comment in the Craig intro, using a nice new template that I found.  Check it out: what do you think?",1
1809,627292,Are you kidding me? Do you even bother to click on <url> to see its fleet?,0
3770,3194,"Yes, the edges are always axis aligned (I will update the post).  Could you give more detail on the scan line approach?  Thx.",1
4609,4964,"It really depends on the specs and the quantities of your PCB. Can you let us know the approximate size of the PCB, the quantity you want, how many layers, and if there are any other unusual requirements?",1
3642,2966,Finding the min/max of a sequence is at worst a linear operation. How did you come up with something quadratic?,0
897,217142,"I seem to have adopted this article, since country music and dance are interests of mine. Can you recommend an easy to use bot that would help me in keeping those unwanted links out of the article?",1
629,204900,"Actually, the page is still up, and I'm still getting a deluge of obscene phone calls and emails in an effort to punish me for constructive editing on Wikipedia consistent with Wikipedia policies and guidelines.  Is <url> and <url> a policy or isn't it?",0
2484,690,"@Ivo Wetzel So, you are saying there is not way to get all objects attributes and values ? Or to convert such object to an associative array ?",1
3346,2363,"I had really hoped to get some more opinions on this question. I modified it a bit, possibly vote to reopen?",1
103,495724,"Would it be premature to remove the autobiography and list laundry tags from <url> yet? I've been trying to improve it bit by bit, and everytime there are those tags on the page... mocking me... What's the go?",0
1730,621975,Very nice. How could I doubt you?,1
3963,3583,"To clarify the question: You have (say) 5 schedules and 10 meetings, each with 5+ non-overlapping meeting times, and you want all 5 schedules to contain all 10 meetings, with no overlapping times in any one schedule.  Is this correct?",1
2334,357,Hi i asked a related question about just how many pixels android can draw and keep screen refresh speeds up. Just how many pixles are you drawing on each screeen and how fps are you getting ?,1
3668,3015,Any particular reason you're thinking of `O(n*log(log(n))`? Or is that just something that spontaneously came into your head?,0
1898,453098,"Hey Jondel.  I was wondering,  since Interlingua is basically resurrected Latin, k and w are basically nonexistant in Interlingua, right?",1
2776,1272,"Yeah, why do you have multiple HTML files in one file in the first place? Wouldn't it be easier to remedy that?",0
5391,6504,"Why would a battery be less efficient with higher voltage? It's just a bigger number of same low-voltage cells, isn't it?",0
1600,619754,Back on topic Jigglyfidders; I totally agree with Deconstructhis on this one. What will you do to address this issue?,0
506,61271,"I am not familiar with the credit card / porn star identity incident you mentioned in AnonEMouse's RFA, but I would like to take a closer look at it.  Could you provide some more direct diffs related to Mouse's involvment?",1
4997,5778,"I assume you are using NPI to refer to a problem in NP not known to be NPC ? Also, in the reference to Ladner, do you perhaps mean that L is NPC, and the removal S is NPI ?",1
4067,3802,"I still don't understand what you want to do. What do you mean by ""reorder the sequence in which the pixel intensity data comes""?",0
4688,5170,No offense @Jack but this seems largely argumentative.  Do you think you could rephrase it?,1
5312,6373,What an interesting idea. I'll ponder it more. Have you ever seen this done for real?,1
3715,3092,"It could be the way you are saving your photo for web-use. Are you using Photoshop's ""Save for Web"" option?",1
4039,3740,This is certainly a tough assignment if you aren't good at programming. Do you have to code your own quadratic programming optimization as well?,1
2421,550,Sorry Allen...Have you been able to reproduce the users problems ? do you trust the user ?,1
3565,2807,I can't parse the For example part.  Can you provide a clearer example?,1
766,292271,"Sounds good then.  In this case, would it be wise to simply remove the ""influence"" field since it simply overlaps with ""subjects""?",1
3887,3433,could you describe the problems you are having? Are you logging the response codes?,1
4818,5468,"If you prepare slightly smaller images, I'll insert them in your question. Also, what's that thing with truncated titles in your screenshots?",1
1453,437668,"I was in doubt too, but when dealing with such incomprehensible concoctions I prefer to err on the side of BLP caution.  Would you like it userfied?",1
5457,6597,great points.  Just out of curiosity is there a reason that you would prefer steel over aluminum or are you just commenting that it would probably hold up well?,1
2638,1012,Please provide code and a specific question. What have you tried?,1
809,605889,"Hello. I was just wondering, is it really fair to delete an unintentional duplication of a deleted category without a formal CFD submission?",1
5188,6141,Why 5 things? Why not 3 or 7?,1
3296,2263,"@den: OK, so the rectangles are represented as two points.  Is this a vector representation or a raster ?",1
257,330453,By the way: Do you know how to remove the spaces created below the project banner when others are placed below it? And how to make capitalisation of the rating not matter?,1
1976,414652,"I see you ended the AfD on <url> and removed the tag.  Will you remove it on the other two articles that were proposed along with it, <url> and <url>?",1
4369,4439,(1) Thanks for the explanation that the verb “section” here is indeed an abbreviation.  (2) Can you please fix the link to “Blog”?,1
416,604463,"Say what? And what does this have to do with ""Happy New Year"" and my pretty picture?",0
3872,3406,"@lasseespeholt: I see. If I may ask, what else do you need?",1
2060,459257,????????????,0
5089,5922,"Are you absolutely sure that you want to do this in Latex? What about writing a simple script (in Python, Perl, or whatever scripting language you prefer) that reads your report and generates Latex code?",1
3566,2809,What is offensive in that question? And why is it downvoted?,0
4123,3921,"@Steve McFarlin, thanks, you have any tips on reading except the qt-documentation to grasp the whole structure of the mov-file because i'm really having trouble gripping all of it, is it correct that the atom don't even need to be in a specific order? which one did you think was easiest to work with mov or mp4?",1
3380,2424,What language are you looking for? C/C++?,0
3412,2490,I believe that almost all jQuery plugins can work with a ListView. Could you show any code where you attempt to use gallery with a ListView?,1
4290,4291,Ummm...what? Can you please clarify your answer?,0
2564,842,"That's a good idea, and then use default parameter window = NULL?  Are there other methods?",1
5100,5939,What resolution? What do you consider low-cost?,0
4801,5422,"Your question is phrased badly as it is both a double-negative and infers that we can read your mind. What you meant to say, I think, is, ""Can you help me understand the meaning of this quote?""",1
3740,3145,I don't understand. If you had your problem solved ... why did you post a question?,0
5154,6067,"Are the warped spots reachable from the doorway?  If so, could you use a bent-nose pliers to straighten the track?",1
2368,425,Having the number of managed threads isn't very meaningful as a metric; most of those threads will have near-zero overhead when they're sleeping. Why do you want to know?,0
1518,159487,"And I guess with exception of 7 countries that recognize same-sex marriage, everybody else would end up in ""homophobia"" category. Or what would be the threshold?",0
2046,607582,I am willing to try to discover the problem. What browser do you use?,1
4536,4785,More important than how they work is how to shut them down.  Any tips on what the recipient of such a message should do?,1
5110,5962,What type of Lycra? Polyster or Nylon?,0
1873,318022,Hi Hektor. Could you please provide a rationale tag for this image?,1
4851,5534,"@Georg : Anyway, I inended to answer both questions. Do you think I should edit my answer to make this clearer ?",0
3381,2427,list b? I don't get it.. mind to explain more?,0
769,220118,"You just created that article - but maybe you haven't noticed there's already <url>, which covers the same character set, as the ISO followed the Thai standard. Maybe you should merge your additions there, and make TIS-620 a redirect?",0
2050,60292,"Anupam, the etymology of ''chand raat'' Sanskritic, as stated in article is basically correct. Is there an issue?",0
4769,5358,"@user391 - I really don't like doing this but I'm going to recommend we close this because it is really not about WordPress but about those other solutions and by definition will be off-topic, see http://area51.stackexchange.com/proposals/1500?phase=definition As a moderator I can close but I want 1 or 2 other opinions before I do. Others agree or disagree?",1
4180,4055,"Could you please state your initial problem at what you are trying to achieve. Also please explain what do you mean by graphing interactions, graphing the different regression lines, plotting the coefficient values?",1
2880,1463,Did you try both solutions suggested in the thread you linked to? Did they not work for some reason?,0
3868,3397,"How about some code? Otherwise, how can we tell what you're doing with the image?!",0
5455,6595,"You're brilliant. Thanks :) Now could you just tell me how to make the view show the fields as rows, not columns?",1
2860,1425,Why are you holding this as a string? Can't you convert them to a dictionary?,0
4071,3812,A quick search finds this code. http://staff.washington.edu/dushaw/GPS/gettracks.awk Is that checksum function what you are looking for?,1
2563,839,"Please clarify your problem. Are you looking for some P2P solution, or want to play with the IP header?",0
3162,2017,@Derek Beattie I checked : ASP.NET and Silverlight are checked. Should I also check Enable Edit and Continue ?,1
5246,6253,How did you install it? Did you use the the Ubuntu packages?,1
3168,2032,It ought to show up in the Delphi Window _and_ in DebugView. Can you confirm that's happening?,1
817,106274,"I'm in Outer Mongolia from the 27th till the 10th, UB, Hovsgol, UB. Maybe we can meet?",1
3483,2638,Is this homework?  What have you tried so far?,0
4576,4885,Interesting concept. Have you tried just adding them to a list as you get follow notifications ?,1
1458,509719,Ditto? whats the deal?,0
2978,1647,"Also, the last time you asked this, 100 worked but 190 didn't work. Why the change?",0
4799,5420,"You should also consider the ergonomics of your setup. For instance, does one configuration or the other cause you to move your next out of it's natural position more than the other?",1
2097,620106,Yes I am planning to. Is that good?,1
1724,82279,I'm not familiar with that article. Can you please specify the exact article title?,1
1145,626216,"Well, that's probably going to be an annoying AfD. How about <url> and <url>?",0
1625,36069,"I'm a little surprised you haven't responded to my suggestions regarding the GAN yet. Is there some sort of a problem there, or have you just not managed to get around to it yet?",0
4418,4545,Please be a little more clear? do you have the printer attached to the ubuntu machine or the Windows XP machine?,1
1962,584827,Thanks for approving my request. Should I remove my request?,1
3052,1805,"This error implies something wrong with how the app itself is running, not with finding the template. Is there any traceback data?",1
2069,626897,"I've always been intrigued by 'dark-complected man.' What's with the radio, and fist in the air?",0
1639,281098,PS do you really think that attrition is a degeneration? Surely it's the norm?,0
1734,251401,"Hey, I saw you edited the Dark Tower Series page. I was just wondering if you were a fan of the series?",1
2323,339,"There already a bunch of free IDE out there, and you want to use Visual Studio ??? You have arguments to not use Eclipse or Netbeans ?",0
1782,621629,Hi Emily!  Do you have any ideas about a topic yet?,1
1418,237220,Why doesnt belong there??,0
315,616622,"The reason given on the <nowiki><person></nowiki> tag (''""Non-notable book promo""'') seems to have nothing at all to do with the article. Is this on the correct article?",0
4936,5674,@kiamlaluno I subscribe that way often. how do you unsubscribe?,1
1825,607129,"Actually, that's again a misromanization.  Would you ''please'' stop this insanity?",0
4520,4745,"So say a sample has size n = 40000.  Then you have one such sample of random variates from A, and 100 replicates each for B, C and D?",0
4821,5477,Great question. Perhaps it should have the pronunciation tag?,1
4671,5127,"The water.mapcalc file should be rather straightforward. However, probably the white space in the directory name causes troubles?",0
3120,1934,That's not how Shoulda worked when I tried it out. Care to show us some code?,0
1682,624484,"Where is the exception in <url> for ""tossing out citations and verifiable in order to make it easier for the reader""?  Who are you to disagree with Nikon's label of ""Compact Professional""?",0
3011,1712,Aren't those that you listed sufficient? What are you looking for?,0
3861,3382,your answer is tooooooo broad - can you try to give a little focus as where the question points?  what aspect is relevant?,0
1066,476257,I know there is some discussion at <url> regarding primary topics so I'm unsure if performing this edit would be an ok move. Thoughts?,1
2794,1294,"OS?  OpenGL implementation vendor?  Can you post a complete, minimal program that demonstrates the problem?",1
2697,1127,"Out of curiosity what are you actually trying to accomplish? To put it another way, _why_ do you want to do this?",0
1546,454245,How did I vandalize!!??,0
1630,618840,"OK, I'll bite. How is ''Matt ""Dirty"" Sanchez'' to be construed as anything other than a personal attack?",0
1285,75108,Your comments have been extremely helpful. I'd like to put this FAC to bed soon; is there any chance that you might be able to finish off your review of the article this weekend?,1
3786,3234,"Can you post a representative data set?  Are you okay with getting no matches back if there is a distance of more than 2 (or 5, or ..) between the closest pairs?",1
3842,3342,"do you do dfs from every node? if not, what nodes do you begin the search from?",1
3774,3202,SO answers homework questions too? Really?,0
1118,39715,"A quick question, I'd like your opinion on something. Do you think I should put <url> GAN on hold or fail it?",1
4326,4357,Sorry its not clear but what are you considering for alternatives? Are you trying to decide between a desktop client and a web client or considering Winforms over WPF ?,1
3099,1894,Do you still can use build-in rails validation with this custom exception class? Haven't you blogged about it?,0
4140,3951,"So, what specificaly is it that you have problems with? Is it that you don't understand the assignment?",0
1241,463085,"Thank you that clarifies matters. Has the image been listed for deletion on commons, or should I do so?",1
5030,5829,Why would the detection limits go up? Are they not a feature of the test instrument rather than that of the sample being tested?,1
5230,6227,"Is this really about physics? I can see why it's a valid question, and I can see there's physics behind it, but is the question itself about physics?",0
4154,3985,"This REEKS of a question asked in a panic before an assignment is due. Nothing wrong with seeking clarification, but are we really here to answer verbatim questions?",0
1502,607813,It's about freedom of speech and no Islamic terrorism is going to deter the truth from outing.  And if it's forbidden to look at figures of Mohammed how come you did it; are you going to hell?,0
4946,5690,"Hello, cmos; welcome on _Drupal Answers_. By embedded view do you mean a view created with Views?",1
1017,463412,I added a clarifying sentence to my user page <url>.  Do you think it distills the essence?,1
888,598159,Doing too many things at once?  Not listening ?,0
3445,2555,"Just a basic question - how many stacks of orders are we looking at? Also, how big are your sets, 1000s of numbers, millions of numbers or more?",1
3452,2572,Can you post this somewhere with a live URL?  I don't see a background image referenced in the CSS...?,1
973,483364,<person> is apparently caught up in that rangeblock. Can you help him out?,1
940,153420,I see that KarBot is editing User Talk Pages.  Is this deliberate?,0
3143,1980,@DSchultz Tried adding the 'www' (no luck). How do I URL encode it?,1
1194,628325,"Thanks for clarifying the article - it looks much better now. By the way, is it just me, or does the Trisakti look a bit like the Flag of the Philippines?",1
3035,1771,"Do you need to read all of the files in the directory? Or, more specifically, are there files in that directory that you do not want to read?",1
4635,5025,"We already have a related (not a duplicate) question: [http://bicycles.stackexchange.com/q/1055/8](http://bicycles.stackexchange.com/questions/1055/which-states-or-countries-have-stop-sign-as-yield-laws-for-bicyclists-idaho-stop), but we never got a good summary of locations where the Idaho Stop was implemented--unless it's really only Idaho that has this law. Maybe make this a question asking how the law has worked out in these locations?",1
1839,75716,Hi again! Have you had a chance to get it lately?,1
3022,1744,"@Jakub Hampl: At my current stage of design, it is more of a logic based game rather than an animation driven game. Out of curiosity, could you expand on the more powerful topic you were mentioning?",1
4744,5303,"""Notify when open WiFi access point is found"" is available in stock Android. Is this not what you're talking about?",1
920,553785,"Why did you rollback <url>? It appears by a quick scan that the user was correct re <url> - but regardless seemed a good faith edit, one certainly not worthy of a vandalism rollback I would think?",0
951,622811,Bureaucrats require a higher level of trust than administrators. Are you actually familiar with what these tasks entail?,0
248,627414,Changing your userpage doesn't answer my question. Why is your userpage a copy of <url>'s?,0
1692,472209,Sounds like a great idea. Do you want to propose it at the project talk page?,1
274,170040,"Hey I saw that you're using Huggle and wanted to try it out, too. I downloaded it, but every time I try to open the program I get the message: CLR error: 80004005. The program will now terminate....What can I do to fix the problem?",1
462,439750,Thanks for protecting this. Perhaps no longer needed?,1
905,360574,At <url> there's a request that seems to cry out for a Wikipedian with a subscription to the Daily Gleaner. Might you be able to help?,1
2856,1419,What platform are you coding for? iPhone/iPad or Mac in general?,1
445,618793,"I am an administrator on this project and my task is to enforce these rules. Now, will you cooperate or will I have to block you?",0
3625,2935,@Jason: You're a harsh man. Millions of people also disagree it seems - go watch the show?,0
529,197793,Hayashi and Spreng Explicitly claim that the Inuktitut data is completely compable to Greenlandic. When you write Mahieu & Tersis you mean Trondhjem right?,0
1565,121274,"Hi, would you have any objection to renaming the sub-categories of <url> to look more like the articles which describe them - i.e. <url> -> <url> and so on?",1
2728,1175,"@tinker: In your comment right below the accepted answer you say *@Ivan: nope, adding chomp does not help.  tinker 41 mins ago* Do you think this is funny?",0
4588,4917,"This isn't a question about LaTeX or friends, but about installing texlive. Perhaps move it to super user?",0
823,618729,How come no one will answer this question!??,0
2004,620039,"OK, so a website might not be reliable even if its sources are (despite the convenience in showing both on wikipedia for guidance, as mere reading material). But what you failed to explain is... WHY IS THIS PARTICULAR AND UNMENTIONED BY THE RULES WEBSITE UNRELIABLE?",0
4825,5483,At least there's nothing ungrammatical about them. Could you elaborate on why you have doubts about their correctness?,1
580,388604,"Hey, you seem to know a bit about coding, so I figured you might have an answer here. If I want use code to grab the target of a page known to be a redirect, how would I do that?",1
1197,239991,"I have already read this - thank you very much for this kind gesture, dear friend. What's up with you?",1
5442,6580,"Sorry, I still don't get it? You want the nodes to be edited/deleted by the same role as node author?",0
1230,618911,"Thanks.  Aside from rewrites and creations (which I've no mind for), anything in particular you see that I should focus on, or is it going okay?",1
3716,3093,"What are you programming on, where 16MB is too much? A phone?",0
2505,727,"Can you provide the kind of input you're talking about in which there are no newlines? Do you mean there are no empty lines, or no newlines?",0
1340,332646,"I've removed my remark. But if somebody puts words in another's mouth, and that second person states that is not what he meant, and the first person responds that no, that ''is'' what the second person meant, well, wouldn't you say that's a little weird?",0
1743,628811,The sources are ref'd in the article. Can you be more specific?,0
3988,3630,you can do this with a container that is positioned absolute/fixed with a width and height of 100%.  background can then be set to `background-position: center center` I think?,1
4586,4915,pdfTeX does not alter images. Perhaps post the problematic file somewhere we can get at?,1
1455,346328,"Seeing you back on Wikipedia after a long time. How are you doing, and is everyone you know safe?",1
