id,text,polite
862,@There: That's a lot of code to wade through.  Are you saying you can't possibly simplify it in any further?,0
3962,It depends on the hash function. What hash functions are you thinking of?,1
1584,"Yea - I deleted my line numbers request comment when I read the log again - I was on completely the wrong track with that! However, I still would consider the xib a suspect - it might be NSDecoding properties that don't exist anymore in the class?",1
4553,"Sorry, I wasn't sure as you said you'd upgraded from 10.10, so I didn't know how 'fresh' your install was. Are you using nouveau or the proprietary drivers?",0
560843,"Re: <url> and <url>, if you think they are better off as redirects to the suburb/town rather than substubs on the lakes with a <nowiki><person></nowiki> tagline, you only need to overwrite the article with a redirect (or revert to a previous version that was a redirect), leaving the substub in the article history. How come you speedied them before redirecting?",0
3878,"@MAK: Well, there is a problem **what order to store in**, and then there is a solution that specifies one way to solve the problem with its own advantages and disadvantages. Not `algorithm` -worthy?",0
165714,"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",1
1812,thats the error? just one line?,0
3347,You can place islands so there is no path between points. What should happen then?,0
4550,Sorry @klox I don't understand. Could you explain a bit more?,0
624693,"Ok! First things first, is there anything in particular you would like me to help you out with?",1
4536,"Please elaborate on ""doesn't seem to be accurately answered"". What did you try and what happened when you did?",0
2703,"There cant be a general solution. What do you do when the stack has 10 entries and you need to output a number, but the last number hasnt arrived yet?",0
328466,"...cause I feel like a petulant kid, posting it. But: ""We have three volunteers: Awadewit, Mike Christie and Wrad."" Given that I, you know, proposed the countries idea, wasn't it obvious that I was volunteering?",0
2968,"Exactly how is your bignum stored? Or if you don't know that, how are you allowed to access it?",0
1975,"Your title talks about arrays, but in your code sample you're applying `gsub` to a single string (you're applying it to the whole string btw) and then taking the first line of that string. Could you please clarify?",1
1782,This is most likely a problem due to the encoding of your input. In what encoding is it in?,1
3960,"It's not clear what you're trying to do here.  Do you want the view to render the string ""1 image more than 1 image ... ""?",1
165733,"Anomie, thank you very much, this is a great tool. Why isn't this a Mediawiki gadget ?",1
6526,@freiheit: Thanks for the answer. Where can I get these items? Can I get some of them combined (whichever I want to have) or do I have to buy separately each of what I need?,1
4482,"Thanks, this was easier to understand. Can you please add a few more lines to last three definitions?",1
487198,"Hi, although I agree with you, please check the following <url> in process. Why can't the darn thing work, in the first place?",0
4600,Could you please elaborate on this answer? Maybe add a step by step guide?,1
621480,"Thanks. As an aside, since this did turn out to be factual, just very hard to source, do you think the community would countenance an unblock request from Blaabla if he accepted some strict unblock conditions (such as packing in the 'systemic bias' thing, discussing his edits in a less confrontational manner etc)?",1
2718,What version of bash are you using? Is it 4.x or 3.x?,1
6156,The Smalltalk one? The CLOS one?,1
4667,you should probably explain the acronyms. Is RMQ range-minimum and RSQ range-sum ?,0
5103,Is there an explicit reason you can not simulate data yourself (i.e. why you can not make your own gold standard and see how changing reference systems impacts this)?,0
2631,I think it is important to note that Spirit 03 was the last gunship to be brought down and that it has not been involved in a Class A mishap since that date. Should we include that?,1
4094,Please describe the attacks you want to defend from. What are you seeing?,0
3804,"If the ads are script elements, does it really matter where you place them? Perhaps you can give an example?",0
532707,"This page, which you recently edited on, is constantly getting vandalized by a rival school. Could you please put an edit lock on the page?",1
3142,"@Moron : I am not here to get my work done, but to learn better ways from other people, and perhaps help them if I can.   BTW ... Why are YOU wasting your time with that comments?",0
5947,Is there any real world current sources? How can I implement a current source from a voltage source?,1
145,They are completely different. Have you even glanced at the documentation?,0
105723,I noticed your nice improvements to <url>. Are you thinking of merging/redirecting <url> to that article?,1
424998,Could you please check over the article of <url>. I edited a couple of things and added a few images..could you reply your opinion please?,1
170871,<url> is brand new and may need some attention. I thought you might be just the person who can help get that article at least secured against SPOD-attacks?,1
510755,"I recently was approved for VandalProof, and I installed everything and stuff, but I'm confused on how it is actually run, like what do I click to start it. Could you please help me a little?",1
2584,OT : Is my edit of the post a good way to add on-topic questions? What do you suggest else?,1
436030,"Hi, I see you were involved in creating the ship infobox. Would you be interested in creating an infobox for windmills so that I could use it on individual windmill articles?",1
73194,Vi is out of the hospital.  Did I mention that she was in?,0
6245,At what point in this process did you discover the MBP was unplugged? Is the problem continuing to happen after the MBP is fully recharged?,1
387620,"I had that fixed before you oranged me, I swears it! :) Are you not familiar with the technique of doubling your edit count using typos?",0
2635,Why is the clause changing every time?  Why don't you post your best attempt and we'll look at it?,0
110,How are `g_rx_buffer` and `BYTE` defined?  What compiler are you using?,1
4691,"Changed tag to ""copyright"". Was there a specific tag you were looking to use?",0
283735,"So how are u gonna concider weither the licences used by Fluckr are accurate...? ,and if this image has to bee conciderd than http://en.wikipedia.org/wiki/Image:Petercrouch_liverpool.JPG should be to..?",0
1952,"Also, your question is a bit unclear to me. Can you provide an example of what `array` could be?",1
274880,"OK, so while browsing my watchlist, I saw something peculiar in one of the pages that I'm watching; the user seems to be quite suspicious, based on his user page (similar to Wynchard Bloom's) which leads to the conclusion that he's Gerald. Can you like give him the stick?",0
2753,"What would stop the algorithm from just producing a regular expression that is the ""or"" of all the possible substrings?  Or would you be comfortable with this regular expression from being produced?",1
62865,"Hi Debresser, what's up? Why are you doing what you are doing?",0
351042,Hmm. Over?,0
147918,"The flag ""visible=yes"" means a comment on the page is made visible, not that the page is visible in search engines. Why did you remove flag?",0
5069,"I was somewhat confused, but after a while thinking I agree that although requiring the same answer, the question is different. Is there somewhere a guideline to this?",1
680,Why do you need 200 variables? Why not have one array with 200 elements?,0
6586,"Are any of these answers useful enough for you to consider accepting one? If not, what else would you need in an answer?",1
606,"Does it do anything other than deselect it?  That seems a little redundant, why not just uncheck the checkbox?",0
97672,"Hmmm, you are basically asking me to think positively despite evidence and knowing that over this issue none good faith on part of some users was showed in past, but ok, letxb4s see how it goes. The question then is: do you consider including the discussions with outside mediation participants that happend on those talk-pages (direktor, for exemple, has been very active and enthusiastic there lately) or only the in-mediation discussions are the ones that count?",0
2149,"I don't know of a specific resource, but if you have specific questions I may be able to help a little.  Are you using WER?",1
5939,What resolution? What do you consider low-cost?,0
6383,"Stupid question perhaps, but what do the numbers in ""25/15/15"" and ""10/7/7"" represent?",0
60760,"OK, I give up?  What notability is asserted?",0
629953,"Hi there. On a tangential note, would you happen to be <person>?",1
196682,Thank you for catching Known for Know.  How did you happen to look at the article?,1
620687,"That's ""fucking consistent naming-schemers"", please.  Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",0
627950,"I am bewildered as to why anyone should think that they are ""representatives of the people"". They are not elected, chosen, delegated, or in any other way appointed by the people: how are they representatives of the people?",0
555624,"The <url> has a request (header ""<url>"") left a few hours ago by someone who has pictures of signs in China but can't read them.  Would you please be willing to help?",1
2274,"can you describe the problem with your first approach more clearly? what is the meaning of ""elements with close statistical probability of selection"" and ""distant selection percentages""?",1
2526,"""best"" according to what Goal?  What are you trying to minimize or maximize?",0
6393,1. what are your pedals and why such pedals? 2. Any idea what load an aluminium bike can stand on touring?,0
629959,"Fine, but it took me no more than a couple of seconds to find a source. Why couldn't you do it instead of removing the content?",0
4334,Yeah you answer did help me. Please can you give me a little bit more details about 'creating a custom admin page that allows the user to add static sections via AJAX with links to their edit pages' (if there's no Static Content menu in which other ways the user can create the content)?,1
625993,"Bingo!  Since you've seen the light, now will you stop trying to craft PR statements?",0
3707,"Sounds like 'can anyone show me how to iterate over array and execute function on each element'. What's the problem with iterating it step by step, just as you described?",0
628811,The sources are ref'd in the article. Can you be more specific?,0
338150,Eight more articles semi-protected. How many of these damned T & J articles are there?,0
3769,"Why do you want to ""fit ellipses""? Isn't enough to ""find ellipses""?",0
3242,I am not sure what you are trying to achieve. Is it a non-convex hull that represents the shape of the point-cloud better than a convex one?,0
1033,You are doing a regex match but not checking whether it succeeded or using its results in any way.  What change to you want to happen to `$name`?,0
5254,"Ditto ""look professional"". What does that mean to you, exactly?",1
358187,So you don't like people pointing out the errors you make? Or do you have any actual arguments to counter my post?,0
11759,"Hi, Leandrod - my computer is slow, and your last two edits were made on top of vandalism that needed to be reverted - I can't tell if I reverted legit changes by you or not?  If I did, I'm sorry, can you have a look?",1
1023,Can't you just filter out the value NULL before you process the records?  Or did I miss something?,0
690,"@Ivo Wetzel So, you are saying there is not way to get all objects attributes and values ? Or to convert such object to an associative array ?",1
1784,"Okay, so you just want to get a feel for what's out there, and know you want CCK-like functionality.  Any other specific features you're looking for, or aspects of Drupal that you'd like to avoid?",1
4134,"Further to what Stefan said, the tocloft package might be sensitive to other things you have in your preamble.  Could you post a [minimum working example](http://meta.tex.stackexchange.com/questions/228/ive-just-been-told-i-have-to-write-a-minimal-example-what-is-that), please?",0
624421,"ummm, it's a soft redirect. A placeholder for a future page ... Is there a problem?",0
557635,"Also, in accordance with <url>, I think the Turkish Army Corps should be 3rd Corps, 4th Corps, 5th Corps, not III Corps, IV Corps, V Corps. What do you think?",1
26850,Why you undid mi edition????,0
1198,"I'm don't understand what you are getting at here. It might help if you told us what `$one`, `$top_level` and the output you want are, along with that ""the value"" means  the value of what?",0
3455,"Ok the table has few nvarchar columns,couple float columns ,a ntext column
I observerd that the error is caused when I am filtering for the columns but couldnt find which column or row?",1
628354,You do not appear to have alerted the other previous Delete advocates yet.  May we take this as a tacit admission that actually you ''were'' intending to skew the deletion review?,0
11172,"Well it looked as though it had stopped, certainly tapered off for a few days but now some bloody wanker has started adding it again. I don't suppose you know how to get a page protected, I've never had to do it before?",0
620976,"Okay, I will be glad to help you here! Could you please list the username you would want now?",1
6529,Thanks Chris. Appreciate the prompt response. Would I need to add any cleanser after physically removing it?,1
620200,"Also perhaps we should set up a subpage for these discussions, so we'll have the thread completely on one page?  What do you think?",1
5181,"This sounds like an open ended hardware request, which is likely to get your question closed. Can you make your question any more specific?",1
4443,Could you cite a reference please? Is the rule based on the noun closest to the verb?,0
6016,"so the airport is in one feature class, and the destination in another feature class? You wish to join all airports to all destinations?",1
1955,Are you trying to validate the file somehow somewhere? Why does the file need to be only available on create?,0
409045,"I started thinking of how to copy-edit it, but then lost interest... what is this thing that Americans have about writing about their bloody roads, for goodness sake?  Can you imagine the <url> as a featured article, or having a ""List of A-roads in Gloucestershire"" as a featured list?",0
2423,"Who said the bunks are equidistant? Also, what is a ""bunk""?",0
5527,"Most of the books listed are more related to theoretical physics. I wonder if there is any ""bible"" for experimental physics?",0
2810,You'll likely get more help if you make your question more specific.  Is there a particular instruction you're having trouble understanding?,1
2717,"Why is your `i` loop going from `j:6`, rather than `1:6`?  Have you noticed that `sum` is being recalculated on every iteration (overwriting the value from the previous iteration)?",0
216221,"Please discuss general principles on <url>.  Do you think there should be a controversies page, or do you think the controversies should be integrated into the mainline texts of the various Giuliani articles?",1
565694,Sure! How could I have missed that?,1
5806,Are you looking for something that gives you a global view? For instance to see the difference in load time from Texas and Tokyo?,1
351,Please explain why you think the `ClassNotFoundException` is incorrect. Possibly even share some code?,1
5905,An empty inbox?  What's that?,0
621746,"From my sources it seems that the Duke of York didn't have any radar when completed, but during her numerous refits different radar sets were added. So shall I list all the radar added from her refits?",1
458559,A proposal has been made for the above WikiProject at <url>. Would you be interested in contributing to it?,1
4303,"*@user1147* I edited your question heavily to try to make it more clear *(please review to make sure I didn't change the meaning.)* One thing I didn't understand was when you said *""when I open a single page to check post""*; can you be more clear what you meant by *""single page?""*",1
2890,"Is the set of points fixed? Will you fetch the closest 1000 points for several differents locations, before set of points changes?",1
627346,"One wonders, of course, who ""Elliott of Macedon"" would have been. Probably something analogous to Brian of Nazareth but in a Macedonian phalanx?",0
2432,"My context is: I want to capture an image which has width = 300px, height = 300px in android. how can I do this?",1
5310,"I've had usb debugging mode enabled since this fix was first mentioned and other than the annoying missing driver popup from Windows when I plug it in, I've not noticed amy adverse effects. Why do you need to toggle it on and off?",1
2862,"So this *is* a trick question, right? Or am I just completely useless?",0
491740,This was supposed to have been moved to <url> per the CFD. Why wasn't it moved?,0
6505,"Wow, that is a great answer!  Thanks for the answer.  One more question for you though.  How can I tell what the float of the pedal is?",1
3772,@Mgccl: Great that you found a better solution for your specific case. May I ask what you are doing this for?,1
135370,You added the name Ken Taylor to the <url> page but there is no such person listed on the DOD website as having received that award. Who were you refering to?,0
11599,I notice that you added a period to the middle of a sentence in the article about <url>. Why?,0
384125,"The YA article is a right trainwreck, and having had to do much of the exact same work on <url> and <url>, I'm not keen to do it again a third time on <url>, and then defend three separate articles from identical POV pushes. Thoughts?",0
4347,Sorry :) I dont want to hack the system!! :) is there another way?,0
108,"@sarnold It shows 
Number of input = 22936722 49.Can anyone rationalise this strangeness?",1
136527,Thanks--can you add the romanization of the Arabic at <url> too? Is it ''jibna baladi''?,1
38,"I haven't ever experience `GetClientRect` returning anything but the full client rectangle, no matter what overlaps it or if it is fully on-screen.  Are you sure?",1
77316,"Your new map is a great, less distorting, format, but it leaves out a whole lot of countries that have recently joined the alliance - Estonia, Latvia, Lithuania, Slovenia etc among them. Can you fix this please?",1
480160,"There may not be a lot of situations like this, but there will definitely be some. I was wondering if there is any kind of invisible comment that can be added to the article in these situations so that the report doesn't include it, or if you have any other thoughts about how it might be possible to handle this situation?",1
2042,"What do you mean by ""moving""? Moving around in your window or a moving image like a *.gif?",0
494758,you recently deleted <url>.  can you tell me where is the AfD debate on that article?,0
483364,<person> is apparently caught up in that rangeblock. Can you help him out?,1
4595,"Fine, thanks a lot. Can you please provide the link for downloading the CD cache for the ubuntu version 10.10 ?",1
6498,"I dont understand ""Toeing in Will"" and by brake calipers, do you mean brake pads?",0
6242,What do you mean by MobileMail? The Mail app on the iPhone?,1
5594,"Extended Attributes will allow you to set some very liberal access permissions, and tell them to propagate inside the directory, and continue to do so on new creations, but for the life of me I can't find instructions. I can only do it on OSX Servers using the Server Admin Tools, which I assume is not a viable option here?",0
628216,You see how time consuming and annoying it is when a person keeps on telling you to provide a source. Why do you want ''Michael'' to be just another compilation album?,0
1999,Can you please clarify your question so it's clear what you're asking for. Do you want examples of functional and non-functional requirements in the problem specification?,0
133738,"So your argument is that as long as you follow the ""rules,"" nothing else should matter? That if it's legal it's OK?",0
2973,I bet this is not what you're looking for. But according to my experience the error should be really small... Have you tried replacing the 2 with a 2.0?,1
629684,Out of curiosity what are you testing? How are things going?,1
137337,"Eeeeerrrrr... Could you type a little slower, I am having trouble with the above!?",0
3371,"How sparse is the matrix?  Does the matrix have any special shape, or relationship between entries?",1
5865,For what purpose? To make the game or to pitch it to an investor?,0
4777,"I suggest re-titling the question, as this has nothing to do with ebay.  Perhaps a title like ""How can I secure my PHP website?"".",0
4715,"I'm not sure what you mean by ""it shows no impressions too"". Do you mean that your site doesn't come up in the results when you put those keywords in?",1
627287,"<url> - You made a bold edit, I reverted and now we discuss. Is there a reason why the Wikipedia editor generated filmography should be deleted and replaced by a link to an outside site?",0
3633,"Ya, seriously.  17 questions and no selected answers?",0
2168,"Great question, but I'm not sure stackoverflow is the right place to ask it. Maybe this would be better-suited for programmers.SE.com?",1
5366,You're doing two times the same thing (2xforeach) and the previous variant might just overwrite the option if the not set in $_REQUEST. Probably this is the issue?,0
196952,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",1
475688,Done. Does Adam Hunter need your disambig-style touch?,0
299645,"I assume you were directing these comments to Malcolm, who was reverted by multiple people (and who blatantly violated the 3RR, as pointed out on his talk page).  Correct?",0
5981,"Perhaps rephrase it to something like, ""What do you look for when choosing a distribution?"", or ""Which distribution would best suit scenario X?""",1
626932,"Crimson, there is a discussion at <url> where we have implemented a new template for bot operators when their bot is blocked stating that it is in ''no way'' an indication or accusation of wrong doing on the operator's behalf. I'm sorry you have interpreted that way - would you be willing to re-consider your retirement?",1
3490,Many thanks. I'm afraid I don't know the reel - is it played in your part or the world?,1
629974,"Cool, I'd be happy to help out. :-) What kind of things are you thinking about removing or adding?",1
489947,"As a former administrator, and therefore a veteran editor who knows how wikipedia really works, I am actually surprised you would even ask such a question with such an obvious answer. I suspect you were simply pointing out a perceived injustice with a question founded in a <url> that you yourself did not take seriously?",0
839,"Please clarify your problem. Are you looking for some P2P solution, or want to play with the IP header?",0
844,"I don't know which of the answers I should select as the ""accepted answer"" as each one answers a part of my question. What is the normal procedure here?",1
1551,I don't get it - you say that there are two error messages popping up - that's what a UIAlertView is! Can you post a screenshot of the error message and add the code in your didFailWithError: to your question please?,0
618619,"eh, i've ALWAYS hated 50 meter pools (200 butterfly was always the BIGGEST pain in the ass) although i really did like butterfly for some reason.... never quite got that, so was it an indoor or outdoor pool????",0
4893,By downvoting without any comment is not helping anyone. Don't you think that some kind of explanation would be nice for Ved?,0
37554,Why did you remove the pollution references on <url>. Do you have a source which refutes this claim?,0
766,"Um, why are you doing this with Javascript? Is that really going to be the way to put things into the database?",0
4495,"""non-default screen resolutions when using virtual display over screen sharing"" — a statement, not a question. Please: do you *prefer*, or wish to *avoid* the non-default resolutions?",0
160294,"Listen, the reason I put those signs in the code 'break-clear' is because the arrangement of the blocks is ''off-key'', at least when looking through IE or Mozilla. Why are you taking them off?",0
123061,"Hi.  Would it be OK to move the timeline to a template, so that all the Mars-related geology pages can point to the same timeline, making updates easier?",1
288388,????,0
5725,"This is a very broad topic. Akin to, ""How is cake made, and what are the ingredients?""",0
623739,"I could take a peek, at least.  What problems are you having?",1
4496,This is something i can explore. Could you please send me an example? thx,1
3097,Is 'find . -name *.c' not simple enough?,0
627133,COI? What COI do you think I have?,0
252731,"Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",0
213531,"Thanks; I expected a decline, despite my extensive comments at <url>. As there is nothing more to this article than listings of bylines in non-notable publications, minor book acknowledgments, uncredited movie extra roles, blog comments, paid directory listings, and unsubstantiated claims about wildly over-the-top PR accomplishments, what exactly do you consider to be the examples of ""credible notability""?",0
1461,I'd like to support iOS 3.0 because it's the project's requirement. Can you help?,1
1444,The way you were doing it at first looks right. Can you post the exact text of the error message you get?,1
5672,Pathauto is able to handle that. Have you tried it ?,1
606438,"I have to say, I've reviewed the suggestions that ""year in x"" not be piped, and I vehemently disagree. As I note on the [[Wikipedia talk:Piped link|talk page]], ""[s]ee [[Lindsay Lohan]] for a good example of why piping is a good thing (a simple [&#91;2003 in film]] in line would create clunky, hard-to-follow writing&mdash;better to use no links at all)."" Comment?",0
621427,"I don't think so, Giano. Can we just once attempt to let this pass by without calling for the heads of people?",0
4763,"Just to be sure, are you talking about ST as found in clinical trials, e.g. http://en.wikipedia.org/wiki/Sequential_analysis?",0
625145,"Unfortunately I think <url> may also add that material; I am not familiar with Citizendum, though, but I will look at it. If Citizendum has the same policies regarding primary, secondary, and tertiary sources, then why not criticize both Wikipedia and Citizendum?",0
629894,"Technically, Taku is within his rights to change things to conform to an existing standard, but it's not very politic of him to do so; if we decide to change, then it's still more meaningless work to change everything once again. Unfortunately, it's all too common for editors to edit first and talk second, eh?",0
629443,Are you saying you have never edited as anything else? What brought you to that particular article?,0
66675,"How exactly is a one-time martial arts tournament, all of whose participants are red-links, notable? Is Wikipedia to have separate articles for every martial arts tournament ever broadcast on television?",0
204900,"Actually, the page is still up, and I'm still getting a deluge of obscene phone calls and emails in an effort to punish me for constructive editing on Wikipedia consistent with Wikipedia policies and guidelines.  Is <url> and <url> a policy or isn't it?",0
153143,I seem to have stuffed up creating 4 April 2009 very badly. Can you help?,1
346297,"Oh? You know something I don't, Friday?",0
139788,"I pretty much agree with <url>, except I would like to know why you modified the see also section to be a hatnote. Doesn't <url> have specific requirements for this?",0
621,Can you please post some code. How is data received at the client side?,1
626075,"Still, I cannot understand why virtually all boxes related to the EU were removed. What makes this issue more divisive than for example the re-unification of Yugoslavia?",0
252674,"Hey, I just went ahead and reverted <url>. I was wondering if you wanted your userpage semi-protected to prevent that happening in the future?",1
6000,For what country? Could the data from openstreetmap be complete enough for your locality?,1
623560,I see you created a nonsense article yesterday because you were bored. If I unblock you will you disrupt more?,0
50455,I noticed that you have a little note at the top saying your status. How do you do that?,1
1265,That's correct behavior.  What don't you like about it?,0
3425,Find what? How much paper is covered?,0
815,"Why do you mean by ""release"" and ""delete"" here? Does ""delete"" mean usage of `delete`, or erasing from the map?",0
2478,I'm not that familiar with Bezier curves; does this give you what you need to construct them? Can you elaborate how to finish it off?,1
5161,"These are the SC1 hotkeys, but it is tagged and titled with SC2. Which one is the mistake?",1
622460,"Thanks for the quick response. Would you have any suggestions on editors who would be interested in this field, or who might have experience with FA reviews?",1
490981,"Since your last warning to BigBang19, he's continued to vandalize the ''Punk'd'' article, undoing the grammatical corrections I made some time ago, and inserting irrelevant, non-noteworthy material about Kuthcer's observence of Jewish holidays and his marriage to Demi Moore.  Can someone block this person for a period of more than just 24 hours so that he gets the message?",0
476437,(S)he seems to have violated the spirit of 3RR <url>. How do we deal with this guy?,0
2925,What do you have so far? How are you storing what you get out of Nokogiri?,1
483,Why are you attempting to do multi-threaded UI?  What is the problem that can't be solved with single-threaded UI?,0
51868,"Hi, I have cleaned up this page and, in the AfD, identified many other sources and additional content. I  wonder if you would reconsider your delete !vote please (I will do the necessary expansion as and when there is a reasonable expectation of it being kept)?",1
5409,@jblue who said that hes not going to do any work himself. as you imply?,1
2091,Where does the menu show up on the page? Do you have HTML or (better yet) a [JSFiddle](http://jsfiddle.net/) that we can look at?,1
4620,"Something of a non-sequitur, but could someone (OP, mod) please edit this and add "", oh my!"" at the end of the title?",1
2531,"@Eric no, this is hobby stuff. Why, does it make a difference?",0
3253,"Nothing wrong in your code, but what does your xml look like ? And what do you call debug mode ?",1
625151,"No worries, please, dear - I'll keep this stage open at least until tomorrow night if you wish. Sounds ok to you?",1
244209,Thank you. So what did I do to earn the tea?,1
2995,Stopping code is completely different from debugging code.  What's the real question?,0
1627,When I see status with Firebus's Net Tab then it shows me Status 200. Is it right?,1
188919,"I used the <url> tool, and clicked rather a lot. I'm happy to switch it on for your account, if you'd like?",1
